Transit,Entertainment,Cultural,Bars/Restaurants/Cafes,Private Amenities,Public Amenities,Health,Education,Sport/Outdoor,Bank,Place of Worship,Negative POI
TRANSPORT_TERMINAL,TOURIST_CINEMA,AMENITY_LIBRARY,FOOD_BAR,SHOP_ALCOHOL,AMENITY_FIRESTATION,HEALTH_DENTIST,EDUCATION_COLLEGE,AMENITY_PLAYGROUND,MONEY_BANK,POW_BAHAI,AMENITY_PRISON
TRANSPORT_BUSSTOP,TOURIST_NIGHTCLUB,TOURIST_ARCHAELOGICAL,FOOD_BIERGARTEN,SHOP_BAKERY,AMENITY_POLICE,HEALTH_DOCTORS,EDUCATION_NURSERY,LANDUSE_CONIFEROUSDECIDUOUS,MONEY_EXCHANGE,POW_BUDDHIST,AMENITY_COURT
TRANSPORT_FUEL,TOURIST_THEATRE,TOURIST_ART,FOOD_CAFE,SHOP_BICYCLE,AMENITY_POSTOFFICE,HEALTH_HOSPITALEMERGENCY,EDUCATION_SCHOOL,LANDUSE_CONIFEROUS,,POW_CHRISTIAN,TRANSPORT_AIRPORT
TRANSPORT_RENTALCAR,TOURIST_THEMEPARK,TOURIST_ATTRACTION,FOOD_FASTFOOD,SHOP_BOOK,AMENITY_PUBLICBUILDING,HEALTH_HOSPITAL,EDUCATION_UNIVERSITY,LANDUSE_DECIDUOUS,,POW_HINDU,
TRANSPORT_SUBWAY,TOURIST_ZOO,TOURIST_BATTLEFIELD,FOOD_ICECREAM,SHOP_BUTCHER,AMENITY_TOWNHALL,HEALTH_PHARMACY,,LANDUSE_GRASS,,POW_ISLAMIC,
TRANSPORT_STATION,,TOURIST_CASTLE,FOOD_PUB,SHOP_CARREPAIR,TOURIST_INFORMATION,HEALTH_VETERINARY,,LANDUSE_SCRUB,,POW_JAIN,
TRANSPORT_TRAMSTOP,,TOURIST_CASTLE2,FOOD_RESTAURANT,SHOP_CAR,,,,SPORT_ARCHERY,,POW_JEWISH,
,,TOURIST_MEMORIAL,,SHOP_CLOTHES,,,,SPORT_BASEBALL,,POW_SHINTO,
,,TOURIST_MONUMENT,,SHOP_COMPUTER,,,,SPORT_BASKETBALL,,POW_SIKH,
,,TOURIST_MUSEUM,,SHOP_CONFECTIONERY,,,,SPORT_BOWLING,,POW_UNKOWN,
,,TOURIST_RUINS,,SHOP_CONVENIENCE,,,,SPORT_CANOE,,,
,,,,SHOP_COPYSHOP,,,,SPORT_CRICKET,,,
,,,,SHOP_DEPARTMENTSTORE,,,,SPORT_DIVING,,,
,,,,SHOP_DIY,,,,SPORT_FOOTBALL,,,
,,,,SHOP_FISH,,,,SPORT_GOLF,,,
,,,,SHOP_FLORIST,,,,SPORT_GYM,,,
,,,,SHOP_GARDENCENTRE,,,,SPORT_GYMNASIUM,,,
,,,,SHOP_GIFT,,,,SPORT_CLIMBING,,,
,,,,SHOP_GREENGROCER,,,,SPORT_HORSE,,,
,,,,SHOP_HAIRDRESSER,,,,SPORT_ICESKATING,,,
,,,,SHOP_HEARINGAIDS,,,,SPORT_LEISURECENTER,,,
,,,,SHOP_HIFI,,,,SPORT_MINIATURGOLF,,,
,,,,SHOP_JEWELRY,,,,SPORT_MOTORRACING,,,
,,,,SHOP_KIOSK,,,,SPORT_SHOOTING,,,
,,,,SHOP_LAUNDRETTE,,,,SPORT_SKATING,,,
,,,,SHOP_MARKETPLACE,,,,SPORT_SKIINGDOWNHILL,,,
,,,,SHOP_PHONE,,,,SPORT_SNOOKER,,,
,,,,SHOP_MOTORCYCLE,,,,SPORT_SOCCER,,,
,,,,SHOP_MUSIC,,,,SPORT_STADIUM,,,
,,,,SHOP_NEWSPAPER,,,,SPORT_SWIMMING,,,
,,,,SHOP_PET,,,,SPORT_TENNIS,,,
,,,,SHOP_SHOES,,,,SPORT_WATERSKI,,,
,,,,SHOP_SUPERMARKET,,,,SPORT_SURFING,,,
,,,,SHOP_TOBACCO,,,,TOURIST_BEACH,,,
,,,,SHOP_TOYS,,,,TOURIST_FOUNTAIN,,,
,,,,SHOP_VENDINGMASCHINE,,,,,,,
,,,,SHOP_VIDEORENTAL,,,,,,,
